Date,Vehicle ID,Route,Time,Location,Energy Level,Energy Consumed,Distance,Driving Time,Idle Time,Parking Time
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:27:54,"-74.216276,40.716532",82.39,1.61,0.47,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:28:08,"-74.221215,40.715315",82.29,0.52,0.44,0.00,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:28:35,"-74.228170,40.710074",82.14,0.88,0.83,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:29:00,"-74.235799,40.706128",82.06,0.44,0.78,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:29:13,"-74.240591,40.705141",82.15,0.00,0.42,0.00,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:29:25,"-74.245033,40.705310",82.14,0.08,0.38,0.00,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:29:40,"-74.250676,40.706244",81.93,1.19,0.49,0.00,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:29:56,"-74.256341,40.707652",81.78,0.83,0.50,0.00,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:30:29,"-74.266488,40.711417",81.05,4.13,0.95,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:30:49,"-74.273072,40.713334",80.71,1.90,0.60,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:31:10,"-74.280351,40.714237",80.64,0.39,0.62,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:31:34,"-74.288947,40.714663",80.69,0.00,0.73,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:31:55,"-74.296093,40.715249",80.55,0.79,0.61,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:32:14,"-74.301765,40.714334",80.39,0.90,0.49,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:32:32,"-74.307407,40.713622",80.10,1.65,0.48,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:33:32,"-74.323681,40.712777",79.01,6.13,1.38,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:33:48,"-74.326601,40.715325",78.74,1.55,0.38,0.00,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:34:10,"-74.331733,40.718283",78.08,3.75,0.55,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:34:59,"-74.342700,40.725419",76.32,9.93,1.22,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:36:01,"-74.356283,40.734817",76.31,0.07,1.56,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:36:44,"-74.367942,40.738780",76.54,0.00,1.09,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:37:05,"-74.370534,40.742888",76.55,0.00,0.52,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:37:41,"-74.374781,40.751393",76.11,2.50,1.04,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:39:18,"-74.402032,40.765575",74.35,9.93,2.80,0.03,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:39:53,"-74.405499,40.773929",73.89,2.61,0.99,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:41:03,"-74.421230,40.787194",73.58,1.77,1.99,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:42:00,"-74.434230,40.796241",72.15,8.06,1.50,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:42:34,"-74.442251,40.801489",71.03,6.34,0.92,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:42:58,"-74.444999,40.806821",71.27,0.00,0.64,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:43:17,"-74.445443,40.809903",71.35,0.00,0.35,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:43:42,"-74.445049,40.813818",71.31,0.20,0.45,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:44:53,"-74.441114,40.827128",70.76,3.13,1.52,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:45:32,"-74.436781,40.831860",70.58,1.03,0.66,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:45:50,"-74.438085,40.834066",70.50,0.45,0.31,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:46:26,"-74.444958,40.835739",70.35,0.84,0.62,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:47:20,"-74.456922,40.840709",69.66,3.89,1.15,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:48:26,"-74.466881,40.845987",68.89,4.35,1.03,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:49:00,"-74.472484,40.850281",68.14,4.21,0.67,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:49:37,"-74.479603,40.855167",67.24,5.10,0.82,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:50:15,"-74.488347,40.858270",65.83,7.98,0.82,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:50:57,"-74.495517,40.861650",65.71,0.68,0.71,0.01,0.00,0.00
